,Team,Nationality,Position,Age,Potential,Name
67,Manchester City,Algeria,Mediocampista Derecho|Extremo Derecho,29,Muy Bueno,Riyad Mahrez
68,Real Madrid,France,Defensor Central,27,Muy Bueno,Raphaël Varane
69,Paris Saint-Germain,Argentina,Segundo Delantero,27,Muy Bueno,Mauro Icardi
70,Napoli,Italy,Mediocampista Izquierdo|Delantero Centro|Extremo Izquierdo,29,Muy Bueno,Lorenzo Insigne
71,Atlético Madrid,Spain,Mediocampista Derecho|Mediocampista Izquierdo|Mediocampista Central,28,Muy Bueno,Koke
72,Inter,Belgium,Segundo Delantero,27,Muy Bueno,Romelu Lukaku
73,FC Bayern München,Spain,Mediocampista Defensivo Central|Mediocampista Central,29,Muy Bueno,Thiago
74,FC Barcelona,Spain,Defensor Lateral Izquierdo,31,Muy Bueno,Jordi Alba
75,Juventus,Italy,Defensor Central,33,Muy Bueno,Leonardo Bonucci
76,Tottenham Hotspur,Belgium,Defensor Central,31,Muy Bueno,Toby Alderweireld
77,Juventus,Bosnia & Herzegovina,Mediocampista Defensivo Central|Mediocampista Central,30,Muy Bueno,Miralem Pjanic
78,Paris Saint-Germain,Uruguay,Segundo Delantero,33,Muy Bueno,Edinson Cavani
79,Borussia Mönchengladbach,Switzerland,Arquero,31,Muy Bueno,Yann Sommer
80,Atalanta,Argentina,Segundo Delantero|Centrocampista Ofensivo Central|Delantero Centro,32,Muy Bueno,Alejandro Gómez
81,Juventus,Netherlands,Defensor Central,20,Sobresaliente,Matthijs de Ligt
82,Manchester City,Spain,Mediocampista Defensivo Central|Mediocampista Central,24,Muy Bueno,Rodri
83,Liverpool,England,Defensor Lateral Derecho,21,Sobresaliente,Trent Alexander-Arnold
84,FC Barcelona,Brazil,Mediocampista Central,23,Sobresaliente,Arthur
85,Milan,Italy,Arquero,21,Sobresaliente,Gianluigi Donnarumma
86,Ajax,Cameroon,Arquero,24,Muy Bueno,André Onana
87,Lazio,Serbia,Mediocampista Defensivo Central|Mediocampista Central|Centrocampista Ofensivo Central,25,Sobresaliente,Sergej Milinkovic-Savic
88,Real Betis,France,Segundo Delantero|Mediocampista Derecho|Centrocampista Ofensivo Central,27,Muy Bueno,Nabil Fekir
89,Atlético Madrid,Uruguay,Defensor Central,25,Muy Bueno,José María Giménez
90,FC Bayern München,Germany,Defensor Central,24,Sobresaliente,Niklas Süle
91,Atlético Madrid,Spain,Defensor Lateral Izquierdo|Mediocampista Izquierdo|Mediocampista Central,25,Muy Bueno,Saúl
92,FC Bayern München,Germany,Mediocampista Derecho|Mediocampista Izquierdo|Extremo Derecho,25,Muy Bueno,Serge Gnabry
93,FC Barcelona,France,Defensor Central,26,Muy Bueno,Samuel Umtiti
94,Real Madrid,Spain,Defensor Lateral Derecho,28,Muy Bueno,Carvajal
95,Lazio,Spain,Mediocampista Central|Centrocampista Ofensivo Central|Delantero Centro,27,Muy Bueno,Luis Alberto
