,Team,Nationality,Position,Age,Potential,Name
3940,SK Rapid Wien,Austria,Segundo Delantero|Mediocampista Central|Centrocampista Ofensivo Central,28,Bueno,Christoph Knasmüllner
3941,Al Ittihad,Brazil,Defensor Central,29,Bueno,Bruno Uvini
3942,Sheffield United,Bosnia & Herzegovina,Mediocampista Central,27,Bueno,Muhamed Bešic
3943,Reading,England,Defensor Central,27,Bueno,Liam Moore
3944,Santa Clara,Iraq,Mediocampista Central,28,Bueno,Osama Rashid
3945,Fortuna Düsseldorf,Germany,Segundo Delantero|Mediocampista Derecho,27,Bueno,Steven Skrzybski
3946,Derby County,Scotland,Mediocampista Defensivo Central|Mediocampista Central,28,Bueno,Graeme Shinnie
3947,RC Deportivo,Turkey,Mediocampista Derecho|Mediocampista Izquierdo|Centrocampista Ofensivo Central,29,Bueno,Emre Çolak
3948,Sport-Club Freiburg,Germany,Mediocampista Defensivo Central|Mediocampista Central,30,Bueno,Nicolas Höfler
3949,Getafe CF,Spain,Mediocampista Defensivo Central|Mediocampista Central,30,Bueno,Timor
3950,Denizlispor,Morocco,Defensor Lateral Izquierdo,31,Bueno,Zakarya Bergdich
3951,Minnesota United FC,Madagascar,Defensor Lateral Derecho,30,Bueno,Romain Métanire
3952,Fortuna Düsseldorf,Germany,Defensor Central|Mediocampista Defensivo Central,27,Bueno,André Hoffmann
3953,Benevento,Italy,Defensor Central,29,Bueno,Luca Caldirola
3954,VfB Stuttgart,Poland,Defensor Central,28,Bueno,Marcin Kaminski
3955,Al Shabab,Brazil,Segundo Delantero|Mediocampista Izquierdo,28,Bueno,Sebá
3956,RCD Mallorca,Argentina,Segundo Delantero|Mediocampista Derecho,32,Bueno,Pablo Chavarría
3957,1. FSV Mainz 05,Korea Republic,Mediocampista Izquierdo|Centrocampista Ofensivo Central|Delantero Centro,29,Bueno,Ji Dong Won
3958,Viktoria Plzen,Czech Republic,Defensor Central,30,Bueno,Lukáš Hejda
3959,Suwon Samsung Bluewings,Korea Republic,Defensor Lateral Izquierdo|Mediocampista Izquierdo,29,Bueno,Hong Chul
3960,Rayo Vallecano,Spain,Defensor Lateral Izquierdo|Mediocampista Izquierdo,29,Bueno,Luna
3961,Pachuca,Paraguay,Mediocampista Derecho|Extremo Derecho,27,Bueno,Juan Iturbe
3962,Vélez Sarsfield,Ecuador,Arquero,33,Bueno,Alexander Domínguez
3963,Columbus Crew SC,Ghana,Defensor Central,30,Bueno,Jonathan Mensah
3964,FC Erzgebirge Aue,Germany,Mediocampista Izquierdo|Mediocampista Central|Centrocampista Ofensivo Central,32,Bueno,Jan Hochscheidt
3965,Toulouse Football Club,France,Defensor Central,28,Bueno,Nicolas Isimat-Mirin
3966,Empoli,Italy,Defensor Central,30,Bueno,Simone Romagnoli
3967,Girona FC,Spain,Defensor Lateral Izquierdo|Mediocampista Derecho|Mediocampista Izquierdo,32,Bueno,Aday Benítez
3968,Celtic,Scotland,Arquero,28,Bueno,Scott Bain
3969,1. FC Union Berlin,Nigeria,Segundo Delantero,29,Bueno,Anthony Ujah
3970,Portland Timbers,United States,Arquero,34,Bueno,Steve Clark
3971,R. Valladolid CF,Spain,Defensor Lateral Izquierdo|Defensor Central|Mediocampista Izquierdo,31,Bueno,Raúl Carnero
3972,Kawasaki Frontale,Brazil,Segundo Delantero,31,Bueno,Leandro Damião
3973,Cardiff City,Republic of Ireland,Defensor Lateral Izquierdo,29,Bueno,Greg Cunningham
3974,Panathinaikos FC,Netherlands,Defensor Central,28,Bueno,Bart Schenkeveld
3975,Girona FC,Spain,Mediocampista Izquierdo|Mediocampista Central|Centrocampista Ofensivo Central,29,Bueno,Samu Sáiz
3976,Club Olimpia,Paraguay,Mediocampista Derecho|Mediocampista Central,32,Bueno,Rodrigo Rojas
3977,La Spezia,Italy,Extremo Derecho|Extremo Izquierdo,30,Bueno,Antonino Ragusa
3978,Asocia?ia Fotbal Club Astra Giurgiu,Romania,Segundo Delantero,29,Bueno,Denis Alibec
3979,Free Agents,Egypt,Mediocampista Derecho|Mediocampista Central|Centrocampista Ofensivo Central,35,Bueno,Abdallah Said
3980,FC Cincinnati,Morocco,Centrocampista Ofensivo Central|Extremo Derecho|Extremo Izquierdo,28,Bueno,Adrien Regattin
3981,Hannover 96,Germany,Segundo Delantero,26,Bueno,Marvin Ducksch
3982,Toulouse Football Club,France,Segundo Delantero,27,Bueno,Yaya Sanogo
3983,Monarcas Morelia,Chile,Mediocampista Central,38,Bueno,Rodrigo Millar
3984,ESTAC Troyes,Korea Republic,Segundo Delantero,29,Bueno,Suk Hyun Jun
3985,SD Huesca,Ivory Coast,Mediocampista Defensivo Central|Mediocampista Central,27,Bueno,Cheick Doukouré
3986,AD Alcorcón,Spain,Arquero,30,Bueno,Dani Jiménez
3987,Girona FC,Spain,Arquero,32,Bueno,Juan Carlos
3988,Middlesbrough,Spain,Defensor Central,29,Bueno,Daniel Ayala
3989,Royal Excel Mouscron,Germany,Defensor Central,29,Bueno,Lasse Sobiech
3990,Reading,Guinea Bissau,Mediocampista Defensivo Central|Mediocampista Central,28,Bueno,Pelé
3991,Bristol City,Austria,Segundo Delantero|Mediocampista Derecho,28,Bueno,Andreas Weimann
3992,Sheffield Wednesday,Germany,Defensor Central,29,Bueno,Julian Börner
3993,CD Numancia,Spain,Defensor Central|Mediocampista Defensivo Central,31,Bueno,Escassi
3994,Frosinone,Italy,Arquero,28,Bueno,Francesco Bardi
3995,Sampdoria,Brazil,Defensor Lateral Izquierdo|Mediocampista Izquierdo,28,Bueno,Dodô
3996,Chievo Verona,Nigeria,Mediocampista Central,29,Bueno,Joel Obi
3997,Free Agents,Slovenia,Arquero,30,Bueno,Vid Belec
3998,Toronto FC,DR Congo,Defensor Central,29,Bueno,Chris Mavinga
3999,SV Wehen Wiesbaden,Austria,Arquero,30,Bueno,Heinz Lindner
4000,Rangers FC,England,Arquero,29,Bueno,Wes Foderingham
4001,Udinese,Netherlands,Defensor Lateral Izquierdo|Mediocampista Izquierdo,29,Bueno,Marvin Zeegelaar
4002,Club América,Mexico,Arquero,31,Bueno,Oscar Jiménez
4003,Brighton & Hove Albion,Italy,Defensor Extremo Derecho|Defensor Lateral Derecho|Extremo Derecho,31,Bueno,Ezequiel Schelotto
4004,Girona FC,Spain,Defensor Central,29,Bueno,Juanpe
4005,FC Augsburg,Germany,Arquero,33,Bueno,Andreas Luthe
4006,1. FC Union Berlin,Germany,Segundo Delantero,29,Bueno,Sebastian Polter
4007,Fortuna Düsseldorf,Germany,Defensor Lateral Derecho|Mediocampista Defensivo Central,28,Bueno,Matthias Zimmermann
4008,DSC Arminia Bielefeld,Germany,Mediocampista Derecho|Mediocampista Central|Centrocampista Ofensivo Central,28,Bueno,Reinhold Yabo
4009,Rayo Vallecano,Spain,Segundo Delantero|Mediocampista Derecho,32,Bueno,Juan Villar
4010,Norwich City,Germany,Centrocampista Ofensivo Central,29,Bueno,Marco Stiepermann
4011,Feyenoord,Netherlands,Extremo Derecho|Extremo Izquierdo,29,Bueno,Luciano Narsingh
4012,FC Utrecht,Senegal,Defensor Central,33,Bueno,Lamine Sané
4013,FC Nantes,Slovenia,Defensor Central|Mediocampista Defensivo Central|Mediocampista Central,30,Bueno,Rene Krhin
4014,Belenenses,Portugal,Defensor Lateral Izquierdo,30,Bueno,Rúben Lima
4015,Gençlerbirligi SK,Sweden,Arquero,31,Bueno,Kristoffer Nordfeldt
4016,Ettifaq FC,Brazil,Mediocampista Defensivo Central|Mediocampista Central,32,Bueno,Souza
4017,Guadalajara,Mexico,Arquero,28,Bueno,José Antonio Rodríguez
4018,Ulsan Hyundai Horang-i,Korea Republic,Defensor Lateral Izquierdo|Mediocampista Defensivo Central,33,Bueno,Park Joo Ho
4019,Urawa Red Diamonds,Japan,Segundo Delantero|Delantero Centro,33,Bueno,Shinzo Koroki
4020,Gamba Osaka,Japan,Segundo Delantero|Mediocampista Derecho|Mediocampista Izquierdo,28,Bueno,Takashi Usami
4021,FC Nordsjælland,Denmark,Defensor Central,31,Bueno,Kian Hansen
4022,SPAL,Bosnia & Herzegovina,Defensor Central,33,Bueno,Ervin Zukanovic
4023,New York City FC,United States,Arquero,31,Bueno,Sean Johnson
4024,FC Augsburg,Germany,Segundo Delantero,31,Bueno,Julian Schieber
4025,SV Darmstadt 98,Iceland,Defensor Central|Mediocampista Defensivo Central|Mediocampista Central,29,Bueno,Victor Pálsson
4026,Brentford,Denmark,Defensor Extremo Derecho|Defensor Lateral Derecho|Defensor Central|Extremo Derecho,31,Bueno,Henrik Dalsgaard
4027,Toronto FC,United States,Defensor Central,31,Bueno,Omar Gonzalez
4028,Cracovia,Poland,Mediocampista Defensivo Central,34,Bueno,Janusz Gol
4029,Cardiff City,England,Defensor Lateral Izquierdo,30,Bueno,Joe Bennett
4030,AIK,Ghana,Mediocampista Defensivo Central|Mediocampista Central,29,Bueno,Enock Kofi Adu
4031,CF Fuenlabrada,Spain,Mediocampista Derecho|Mediocampista Izquierdo,33,Bueno,Hugo Fraile
4032,Angers SCO,France,Defensor Lateral Derecho,31,Bueno,Vincent Manceau
4033,Granada CF,Turkey,Defensor Lateral Izquierdo|Mediocampista Izquierdo,31,Bueno,Ismail Köybasi
4034,Crotone,Sweden,Segundo Delantero,30,Bueno,Samuel Armenteros
4035,Girona FC,Spain,Defensor Central,31,Bueno,Alcalá
4036,Bologna,Brazil,Arquero,36,Bueno,Da Costa
4037,SV Wehen Wiesbaden,Germany,Segundo Delantero,31,Bueno,Manuel Schäffler
4038,Fenerbahçe SK,Turkey,Mediocampista Defensivo Central|Mediocampista Central|Centrocampista Ofensivo Central,30,Bueno,Mehmet Ekici
4039,Kasimpasa SK,Guinea,Segundo Delantero|Mediocampista Derecho,29,Bueno,Bengali-Fodé Koita
4040,Lecce,Italy,Defensor Lateral Derecho|Mediocampista Derecho,31,Bueno,Andrea Rispoli
4041,Lecce,Brazil,Segundo Delantero,30,Bueno,Diego Farías
4042,Cardiff City,Canada,Mediocampista Izquierdo,30,Bueno,Junior Hoilett
4043,Gallos Blancos de Querétaro,Argentina,Segundo Delantero,32,Bueno,Ariel Nahuelpan
4044,Frosinone,Italy,Defensor Central,31,Bueno,Lorenzo Ariaudo
4045,Bristol City,England,Defensor Central,29,Bueno,Nathan Baker
4046,San Jose Earthquakes,Germany,Defensor Central,31,Bueno,Florian Jungwirth
4047,Juventus,Italy,Arquero,30,Bueno,Carlo Pinsoglio
4048,Ulsan Hyundai Horang-i,Brazil,Segundo Delantero,33,Bueno,Júnior Negão
4049,SpVgg Greuther Fürth,Germany,Arquero,30,Bueno,Sascha Burchert
4050,SPAL,Italy,Mediocampista Defensivo Central|Mediocampista Central,34,Bueno,Mirko Valdifiori
4051,Sparta Praha,Czech Republic,Segundo Delantero,31,Bueno,Libor Kozák
4052,Deportivo Toluca,Mexico,Defensor Lateral Derecho|Defensor Lateral Izquierdo,32,Bueno,Rodrigo Salinas
4053,Málaga CF,Spain,Mediocampista Izquierdo|Mediocampista Central|Centrocampista Ofensivo Central,29,Bueno,Dani Pacheco
4054,Benevento,Italy,Mediocampista Defensivo Central|Mediocampista Central,33,Bueno,Pasquale Schiattarella
4055,Medipol Basaksehir FK,Turkey,Arquero,31,Bueno,Volkan Babacan
4056,Chievo Verona,Italy,Segundo Delantero,34,Bueno,Riccardo Meggiorini
4057,Club Olimpia,Uruguay,Defensor Lateral Izquierdo|Defensor Central,28,Bueno,Diego Polenta
4058,En Avant Guingamp,France,Segundo Delantero|Centrocampista Ofensivo Central|Extremo Derecho,30,Bueno,Ronny Rodelin
4059,Cagliari,Italy,Defensor Lateral Derecho|Defensor Lateral Izquierdo,33,Bueno,Fabrizio Cacciatore
4060,CD O'Higgins,Chile,Segundo Delantero,37,Bueno,Roberto Gutiérrez
4061,Medipol Basaksehir FK,Norway,Segundo Delantero,27,Bueno,Fredrik Gulbrandsen
4062,Al Taawoun,Brazil,Mediocampista Defensivo Central,32,Bueno,Sandro Manoel
4063,Free Agents,Russia,Arquero,33,Bueno,Soslan Dzhanaev
4064,Gallos Blancos de Querétaro,Mexico,Defensor Central,34,Bueno,Jair Pereira
4065,Santos Laguna,Mexico,Defensor Central,30,Bueno,Hugo Rodríguez
4066,Fulham,Norway,Mediocampista Defensivo Central|Mediocampista Central,29,Bueno,Stefan Johansen
4067,Moreirense FC,Algeria,Defensor Central,33,Bueno,Rafik Halliche
4068,Rayo Vallecano,Spain,Arquero,35,Bueno,Alberto
4069,Feyenoord,Netherlands,Defensor Central,32,Bueno,Jan-Arie van der Heijden
4070,Aston Villa,Norway,Arquero,29,Bueno,Ørjan Nyland
4071,Kayserispor,Brazil,Defensor Central,34,Bueno,Diego Ângelo
4072,Pescara,Italy,Arquero,30,Bueno,Vincenzo Fiorillo
4073,Lecce,Italy,Defensor Central,35,Bueno,Luca Rossettini
4074,MKE Ankaragücü,Poland,Defensor Central,32,Bueno,Michal Pazdan
4075,Alanyaspor,Angola,Mediocampista Derecho|Mediocampista Izquierdo|Mediocampista Central,33,Bueno,Djalma
4076,Hamburger SV,Greece,Defensor Central,28,Bueno,Kyriakos Papadopoulos
4077,Cardiff City,England,Arquero,30,Bueno,Alex Smithies
4078,Manchester City,United States,Mediocampista Defensivo Central|Mediocampista Central,29,Bueno,Mix Diskerud
4079,Puebla,Colombia,Defensor Lateral Izquierdo|Defensor Extremo Izquierdo|Extremo Izquierdo,30,Bueno,Brayan Angulo
4080,Valenciennes FC,France,Segundo Delantero|Extremo Derecho,33,Bueno,Teddy Chevalier
4081,Yeni Malatyaspor,Netherlands,Mediocampista Defensivo Central|Mediocampista Central|Centrocampista Ofensivo Central,31,Bueno,Mitchell Donald
4082,1. FC Nürnberg,Austria,Defensor Central,31,Bueno,Georg Margreitter
4083,Perugia,Serbia,Defensor Central,31,Bueno,Slobodan Rajkovic
4084,Sparta Praha,Cameroon,Defensor Central|Mediocampista Defensivo Central,31,Bueno,Georges Mandjeck
4085,Stade Malherbe Caen,France,Defensor Central,33,Bueno,Anthony Weber
4086,FC Lorient,France,Mediocampista Defensivo Central|Mediocampista Central,33,Bueno,Fabien Lemoine
4087,Club Alianza Lima,Uruguay,Mediocampista Central,34,Bueno,Luís Aguiar
4088,FC Augsburg,Czech Republic,Mediocampista Central|Centrocampista Ofensivo Central,30,Bueno,Jan Morávek
4089,Çaykur Rizespor,Czech Republic,Segundo Delantero,34,Bueno,Milan Škoda
4090,Gimnasia y Esgrima La Plata,Paraguay,Segundo Delantero,35,Bueno,Lucas Barrios
4091,West Ham United,Colombia,Defensor Central|Mediocampista Defensivo Central,34,Bueno,Carlos Sánchez
4092,Gil Vicente FC,Brazil,Arquero,33,Bueno,Denis
4093,Antalyaspor,Russia,Defensor Lateral Izquierdo|Defensor Central|Defensor Extremo Izquierdo|Extremo Izquierdo,33,Bueno,Fedor Kudryashov
4094,Vitesse,Slovenia,Segundo Delantero,31,Bueno,Tim Matavz
4095,Olympique Lyonnais,France,Defensor Central,31,Bueno,Mapou Yanga-Mbiwa
4096,Sydney FC,Australia,Defensor Central,35,Bueno,Alex Wilkinson
4097,Stade Rennais FC,Sweden,Mediocampista Defensivo Central|Mediocampista Central,30,Bueno,Jakob Johansson
4098,Free Agents,Bolivia,Segundo Delantero,33,Bueno,Marcelo Martins
4099,Viktoria Plzen,Czech Republic,Defensor Lateral Izquierdo|Mediocampista Izquierdo,31,Bueno,Adam Hloušek
4100,Viktoria Plzen,Czech Republic,Mediocampista Defensivo Central|Mediocampista Central|Centrocampista Ofensivo Central,32,Bueno,Tomáš Horava
4101,LA Galaxy,Argentina,Defensor Lateral Izquierdo|Defensor Extremo Izquierdo|Extremo Izquierdo,31,Bueno,Emiliano Insúa
4102,Esbjerg fB,Italy,Arquero,32,Bueno,Vito Mannone
4103,Boavista FC,Brazil,Arquero,39,Bueno,Bracali
4104,Racing Club,Argentina,Arquero,33,Bueno,Javier García
4105,Club Atlético Banfield,Italy,Segundo Delantero,34,Bueno,Pablo Daniel Osvaldo
4106,Sassuolo,Italy,Defensor Lateral Izquierdo|Defensor Central,36,Bueno,Federico Peluso
4107,Parma,Italy,Defensor Lateral Derecho|Defensor Central,33,Bueno,Simone Iacoponi
4108,Legia Warszawa,Poland,Defensor Lateral Derecho|Defensor Central,32,Bueno,Artur Jedrzejczyk
4109,Antalyaspor,Turkey,Mediocampista Defensivo Central|Mediocampista Central|Centrocampista Ofensivo Central,35,Bueno,Hakan Özmert
4110,AS Saint-Étienne,France,Defensor Extremo Derecho|Mediocampista Derecho|Mediocampista Izquierdo|Extremo Derecho,31,Bueno,Kévin Monnet-Paquet
4111,Eintracht Frankfurt,Netherlands,Mediocampista Defensivo Central|Mediocampista Central|Centrocampista Ofensivo Central,32,Bueno,Jonathan de Guzmán
4112,Club Atlético Banfield,Argentina,Mediocampista Derecho|Mediocampista Izquierdo,34,Bueno,Nicolás Bertolo
4113,FC Cincinnati,Bosnia & Herzegovina,Mediocampista Defensivo Central|Mediocampista Central,35,Bueno,Haris Medunjanin
4114,Cruz Azul,Mexico,Defensor Lateral Derecho|Defensor Central,32,Bueno,Julio César Domínguez
4115,Free Agents,Slovenia,Defensor Central|Defensor Extremo Izquierdo|Extremo Izquierdo,34,Bueno,Bojan Jokic
4116,Birmingham City,England,Segundo Delantero,31,Bueno,Lukas Jutkiewicz
4117,Santa Clara,Portugal,Arquero,33,Bueno,Marco Pereira
4118,Independiente Medellín,Colombia,Mediocampista Derecho|Centrocampista Ofensivo Central|Extremo Derecho,31,Bueno,Javier Reina
4119,Once Caldas,Paraguay,Segundo Delantero,34,Bueno,Roberto Ovelar
4120,Jeonbuk Hyundai Motors,Korea Republic,Defensor Lateral Derecho|Defensor Lateral Izquierdo,33,Bueno,Choi Chul Soon
4121,SV Zulte Waregem,Belgium,Segundo Delantero,31,Bueno,Jelle Vossen
4122,Boavista FC,Angola,Extremo Derecho|Extremo Izquierdo,36,Bueno,Mateus
4123,Parma,Italy,Mediocampista Central,32,Bueno,Antonino Barillà
4124,Frosinone,Italy,Segundo Delantero,33,Bueno,Federico Dionisi
4125,KV Mechelen,Belgium,Mediocampista Derecho|Centrocampista Ofensivo Central,34,Bueno,Onur Kaya
4126,Club River Plate Asunción,Uruguay,Defensor Lateral Izquierdo,34,Bueno,Álvaro Pereira
4127,AFC Bournemouth,England,Defensor Lateral Izquierdo,33,Bueno,Charlie Daniels
4128,Stoke City,England,Defensor Central,32,Bueno,Ryan Shawcross
4129,SPAL,Italy,Segundo Delantero,38,Bueno,Sergio Floccari
4130,Fortuna Düsseldorf,Austria,Defensor Lateral Izquierdo|Defensor Extremo Izquierdo|Mediocampista Izquierdo|Extremo Izquierdo,33,Bueno,Markus Suttner
4131,Shonan Bellmare,Norway,Segundo Delantero|Mediocampista Central,32,Bueno,Tarik Elyounoussi
4132,Preston North End,England,Mediocampista Izquierdo,31,Bueno,Scott Sinclair
4133,PFC CSKA Moscow,Russia,Defensor Lateral Derecho|Defensor Lateral Izquierdo|Defensor Central,33,Bueno,Kirill Nababkin
4134,Fortuna Düsseldorf,Germany,Mediocampista Central|Centrocampista Ofensivo Central,38,Bueno,Oliver Fink
4135,Rayo Vallecano,Portugal,Mediocampista Derecho|Mediocampista Izquierdo,30,Bueno,Bebé
4136,Rayo Vallecano,Argentina,Segundo Delantero,34,Bueno,Leonardo Ulloa
4137,Al Nassr,Australia,Arquero,38,Bueno,Brad Jones
4138,Atlanta United,United States,Arquero,35,Bueno,Brad Guzan
4139,Malmö FF,Sweden,Arquero,33,Bueno,Johan Dahlin
4140,Club Atlético Peñarol,Spain,Segundo Delantero,34,Bueno,Xisco
4141,SC Braga,Portugal,Arquero,37,Bueno,Eduardo
4142,Derby County,England,Defensor Central,35,Bueno,Curtis Davies
4143,Burnley,Scotland,Defensor Lateral Derecho,35,Bueno,Phil Bardsley
4144,Heart of Midlothian,Scotland,Segundo Delantero|Mediocampista Izquierdo|Centrocampista Ofensivo Central,33,Bueno,Steven Naismith
4145,Colo-Colo,Argentina,Defensor Central,35,Bueno,Julio Barroso
4146,Universidad de Chile,Chile,Defensor Lateral Izquierdo,36,Bueno,Jean Beausejour
4147,RB Leipzig,Germany,Arquero,34,Bueno,Philipp Tschauner
4148,KAA Gent,Ghana,Defensor Lateral Izquierdo,34,Bueno,Nana Asare
4149,CF Fuenlabrada,Spain,Defensor Central,37,Bueno,Juanma
4150,Atlético Tucumán,Argentina,Arquero,42,Bueno,Cristian Lucchetti
4151,Deportivo Toluca,Mexico,Arquero,37,Bueno,Alfredo Talavera
4152,Charlton Athletic,Republic of Ireland,Mediocampista Izquierdo,34,Bueno,Aiden McGeady
4153,Millwall,Poland,Arquero,33,Bueno,Bartosz Bialkowski
4154,Portimonense SC,Portugal,Segundo Delantero,33,Bueno,Ricardo Vaz Tê
4155,Stade Rennais FC,France,Arquero,36,Bueno,Romain Salin
4156,Crotone,Italy,Arquero,37,Bueno,Alex Cordaz
4157,RC Deportivo,Spain,Arquero,36,Bueno,Dani Giménez
4158,Universidad de Chile,Argentina,Centrocampista Ofensivo Central,36,Bueno,Walter Montillo
4159,Unión de Santa Fe,Argentina,Defensor Central,35,Bueno,Jonathan Bottinelli
4160,SV Zulte Waregem,Belgium,Arquero,34,Bueno,Sammy Bossut
4161,Argentinos Juniors,Uruguay,Segundo Delantero,39,Bueno,Santiago Silva
4162,Genoa,Italy,Arquero,37,Bueno,Federico Marchetti
4163,Viktoria Plzen,Czech Republic,Defensor Central,36,Bueno,Roman Hubník
4164,Górnik Zabrze,Spain,Segundo Delantero,36,Bueno,Angulo
4165,Galatasaray SK,Turkey,Mediocampista Defensivo Central|Mediocampista Central,35,Bueno,Selçuk Inan
4166,Sivasspor,Ivory Coast,Segundo Delantero,36,Bueno,Arouna Koné
4167,FC Red Bull Salzburg,Germany,Arquero,37,Bueno,Alexander Walke
4168,Impact Montréal,France,Defensor Central,38,Bueno,Rod Fanni
4169,UD Las Palmas,Spain,Segundo Delantero,39,Bueno,Rubén Castro
4170,Coquimbo Unido,Chile,Segundo Delantero,36,Bueno,Mauricio Pinilla
4171,FC Augsburg,Switzerland,Defensor Extremo Derecho|Defensor Lateral Derecho|Defensor Central|Extremo Derecho,36,Bueno,Stephan Lichtsteiner
4172,AFC Bournemouth,Poland,Arquero,40,Bueno,Artur Boruc
4173,Everton,Netherlands,Arquero,37,Bueno,Maarten Stekelenburg
4174,SPAL,Brazil,Defensor Central,35,Bueno,Felipe
4175,Deportivo Binacional,Peru,Mediocampista Defensivo Central,29,Bueno,Ángel Romero
4176,Free Agents,Egypt,Mediocampista Derecho|Mediocampista Central|Centrocampista Ofensivo Central,24,Bueno,Afsha
4177,Independiente del Valle,Ecuador,Mediocampista Central|Centrocampista Ofensivo Central,35,Bueno,Efrén Mera
4178,Club Nacional de Football,Uruguay,Mediocampista Derecho|Extremo Derecho|Extremo Izquierdo,21,Bueno,Brian Ocampo
4179,Club Atlético Peñarol,Uruguay,Arquero,23,Bueno,Thiago Cardozo
4180,Club Libertad,Paraguay,Mediocampista Izquierdo|Delantero Centro,20,Muy Bueno,Iván Franco
4181,UD Almería,Uruguay,Segundo Delantero,21,Muy Bueno,Darwin Núñez
4182,Paris Saint-Germain,France,Defensor Central|Mediocampista Defensivo Central,18,Muy Bueno,Tanguy Kouassi
4183,SL Benfica,Portugal,Defensor Lateral Derecho|Defensor Lateral Izquierdo,20,Muy Bueno,Nuno Tavares
4184,Moreirense FC,Brazil,Arquero,28,Bueno,Mateus Pasinato
4185,Independiente Santa Fe,Argentina,Segundo Delantero,27,Bueno,Patricio Cucchi
4186,Fotbal Club Boto?ani,Argentina,Mediocampista Defensivo Central|Mediocampista Central,30,Bueno,Jonathan Rodríguez
4187,Valencia CF,Portugal,Defensor Lateral Derecho|Defensor Lateral Izquierdo,21,Bueno,Thierry Correia
4188,CA Osasuna,Spain,Defensor Lateral Derecho|Mediocampista Defensivo Central|Mediocampista Central,22,Muy Bueno,Moncayola
4189,KSV Cercle Brugge,Bosnia & Herzegovina,Centrocampista Ofensivo Central|Extremo Derecho,25,Bueno,Dino Hotic
4190,Al Ain FC,United Arab Emirates,Arquero,30,Bueno,Khalid Eissa
4191,SK Slavia Praha,Bahrain,Segundo Delantero|Delantero Centro,27,Bueno,Abdulla Yusuf Helal
4192,Shakhtar Donetsk,Israel,Mediocampista Derecho|Mediocampista Izquierdo|Centrocampista Ofensivo Central,21,Muy Bueno,Manor Solomon
4193,FC Red Bull Salzburg,Mali,Segundo Delantero,20,Muy Bueno,Sekou Koita
4194,Club Atlético Banfield,Argentina,Mediocampista Derecho|Mediocampista Izquierdo|Mediocampista Central,20,Muy Bueno,Agustín Urzi
4195,Oita Trinita,Japan,Defensor Central,27,Bueno,Yoshinori Suzuki
4196,Club Tijuana,Ecuador,Segundo Delantero,24,Bueno,Bryan Angulo
4197,Club Nacional de Football,Uruguay,Defensor Extremo Derecho|Defensor Lateral Derecho|Extremo Derecho,24,Bueno,Mathías Suárez
4198,Sporting CP,Portugal,Mediocampista Central,21,Muy Bueno,Miguel Luís
4199,River Plate,Argentina,Segundo Delantero|Extremo Derecho,20,Muy Bueno,Julián Álvarez
4200,Club Atlético Lanús,Argentina,Defensor Central,21,Muy Bueno,Lautaro Valenti
4201,Club Atlético Lanús,Argentina,Extremo Derecho|Extremo Izquierdo,19,Muy Bueno,Pedro De la Vega
4202,SK Sturm Graz,Bulgaria,Mediocampista Derecho|Extremo Derecho,23,Bueno,Kiril Despodov
4203,VfB Stuttgart,DR Congo,Segundo Delantero|Mediocampista Derecho|Mediocampista Izquierdo,20,Muy Bueno,Silas Wamangituka
4204,Hannover 96,Germany,Segundo Delantero,25,Bueno,Hendrik Weydandt
4205,San Lorenzo de Almagro,Argentina,Segundo Delantero,21,Muy Bueno,Adolfo Gaich
4206,LDU Quito,Ecuador,Mediocampista Izquierdo,22,Muy Bueno,Billy Arce
4207,PSV,Czech Republic,Defensor Lateral Izquierdo|Mediocampista Defensivo Central,21,Bueno,Michal Sadílek
4208,FC Nordsjælland,Ghana,Mediocampista Central|Delantero Centro,19,Muy Bueno,Mohammed Kudus
4209,Boca Juniors,Venezuela,Segundo Delantero,20,Muy Bueno,Jan Hurtado
4210,Dynamo Kyiv,Ukraine,Defensor Central,21,Muy Bueno,Denys Popov
4211,SK Slavia Praha,Croatia,Segundo Delantero,22,Muy Bueno,Petar Musa
4212,Viktoria Plzen,Czech Republic,Segundo Delantero,25,Bueno,Tomáš Chory
4213,Górnik Zabrze,Slovakia,Mediocampista Defensivo Central|Mediocampista Central,31,Bueno,Roman Procházka
4214,Dynamo Kyiv,Ukraine,Segundo Delantero,21,Muy Bueno,Nazariy Rusyn
4215,Athletic Club,Spain,Mediocampista Central|Centrocampista Ofensivo Central,20,Muy Bueno,Sancet
4216,Derby County,England,Defensor Lateral Derecho,20,Muy Bueno,Jayden Bogle
4217,Dynamo Kyiv,Ukraine,Arquero,26,Bueno,Georgiy Bushchan
4218,Rio Ave FC,Croatia,Defensor Central,23,Muy Bueno,Toni Borevkovic
4219,Willem II,Greece,Centrocampista Ofensivo Central|Extremo Izquierdo,22,Bueno,Marios Vrousai
4220,Dinamo Zagreb,Bosnia & Herzegovina,Mediocampista Central|Centrocampista Ofensivo Central,23,Bueno,Amer Gojak
4221,Rangers FC,Croatia,Defensor Central,23,Muy Bueno,Nikola Katic
4222,Heart of Midlothian,Austria,Defensor Central|Mediocampista Defensivo Central|Mediocampista Central,27,Bueno,Peter Haring
4223,Marítimo,Croatia,Mediocampista Defensivo Central|Mediocampista Central,28,Bueno,Josip Vukovic
4224,CD Mirandés,Spain,Centrocampista Ofensivo Central|Extremo Izquierdo,22,Muy Bueno,Vicente
