Ubicación,Superficie (Km²),Profundidad Máxima (M),Profundidad Media (M),Coordenadas,Nombre
Santa Cruz,1435,500,150,50.24805555555556-S 72.64527777777778-O,Lago Argentino
Santa Cruz,1166,,,49.62416666666667-S 72.495-O,Lago Viedma
Río Negro / Neuquén,540,464,157,40.85444444444445-S 71.61611111111111-O,Lago Nahuel Huapi
Chubut,427,39,20,45.414722222222224-S 69.19777777777779-O,Lago Musters
Santa Cruz,358,,49,48.9175-S 71.21472222222222-O,Lago Cardiel
Buenos Aires,156,11,7,37.12916666666667-S 62.86472222222223-O,Lago Epecuén
Río Negro,116,,,38.706944444444446-S 67.97305555555556-O,Lago Pellegrini
Santa Cruz,100,,,48.43277777777777-S 71.19027777777778-O,Lago Strobel
Chubut,84,,79,44.921388888888885-S 71.49583333333334-O,Lago Fontana
Neuquén,84,,142,39.77444444444444-S 71.50888888888889-O,Lago Huechulafquen
Neuquén,78,,,40.63055555555555-S 71.41527777777779-O,Lago Traful
Chubut,73,,,44.85916666666667-S 71.82-O,Lago La Plata
Santa Cruz,65,,,47.288333333333334-S 71.53027777777778-O,Lago Ghío
Chubut,58,287,149,42.691111111111105-S 71.8625-O,Lago Menéndez
Neuquén,58,165,64,38.92166666666667-S 71.12638888888888-O,Lago Aluminé
Neuquén,53,277,166,40.1625-S 71.4363888888889-O,Lago Lácar
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,,43,54.411944444444444-S 67.71527777777779-O,Lago Yehuin
Santa Cruz,47,,,48.41694444444444-S 71.55083333333333-O,Lago Quiroga
Chubut,47,180,111,42.15083333333333-S 71.64972222222222-O,Lago Puelo
Santa Cruz,42,,,47.97888888888889-S 72.35305555555556-O,Lago Nansen
Santa Cruz,42,,,47.84388888888889-S 72.14277777777778-O,Lago Belgrano
Chubut,42,168,101,42.82833333333333-S 71.67527777777778-O,Lago Futalaufquen
Santa Cruz,41,,31,47.49444444444445-S 71.83194444444445-O,Lago Posadas
Neuquén,40,,,40.67583333333333-S 71.71111111111111-O,Lago Espejo
Río Negro,39,218,111,41.346111111111114-S 71.54777777777778-O,Lago Mascardi
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,,,54.394999999999996-S 67.59333333333333-O,Lago Chepelmut
Santa Cruz,37,,,47.5-S 71.61333333333333-O,Lago Salitroso o Sucio
Neuquén,37,,,40.03611111111111-S 71.5363888888889-O,Lago Lolog
Santa Cruz,30,,,49.22833333333333-S 72.01722222222222-O,Lago Tar
Neuquén,29,,69,39.52583333333333-S 71.44777777777779-O,Lago Tromen
Chubut,28,,,45.88777777777778-S 71.22361111111111-O,Lago Blanco
Neuquén,26,,,39.41138888888889-S 71.31444444444445-O,Lago Quillén
Santa Cruz,23,,,47.862500000000004-S 71.47027777777778-O,Lago Asador o Guitarra
Chubut,23,147,104,42.61083333333333-S 71.66638888888889-O,Lago Rivadavia
Neuquén,21,,,38.904444444444444-S 71.27388888888889-O,Lago Moquehue
Neuquén,20,,,40.702222222222225-S 71.65972222222223-O,Lago Correntoso
Chubut,20,,,45.59444444444445-S 68.54777777777778-O,Lago Río Chico
Santa Cruz,20,,,48.49916666666667-S 71.58472222222221-O,Lago Quiroga Chico
Chubut,17,148,92,42.1875-S 71.50666666666666-O,Lago Epuyén
Río Negro,17,111,80,41.20777777777778-S 71.42027777777778-O,Lago Gutiérrez
Chubut,17,108,49,42.45861111111111-S 71.66916666666667-O,Lago Cholila
Neuquén,16,,66,39.72416666666667-S 71.58388888888888-O,Lago Paimún
Santa Cruz,16,,,47.84583333333334-S 72.27027777777778-O,Lago Azara
Santa Cruz,14,,,47.955555555555556-S 72.2025-O,Lago Burmeister
Santa Cruz,14,,,50.108333333333334-S 73.34972222222221-O,Lago Onelli
Neuquén,14,,,40.333333333333336-S 71.31944444444444-O,Lago Meliquina
Río Negro,12,,,41.066111111111105-S 71.5411111111111-O,Lago Perito Moreno
Neuquén,12,,,39.84-S 71.5075-O,Lago Currhué
Neuquén,11,,,40.485-S 71.47583333333334-O,Lago Falkner
Chubut,10,,,44.24194444444444-S 71.50222222222222-O,Lago Pico Nº 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,,,54.68861111111111-S 65.80638888888889-O,Lago Río Bueno
Chubut,10,57,25,43.26-S 71.34666666666666-O,Lago Rosario
Santa Cruz,843,,,46.43527777777778-S 71.71361111111112-O,Lago Buenos Aires
Santa Cruz,537,,,48.89611111111111-S 72.69777777777779-O,Lago San Martín
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",533,,81,54.56472222222222-S 67.88972222222223-O,Lago Fagnano
Santa Cruz,125,,,47.35666666666667-S 71.93083333333334-O,Lago Pueyrredón
Chubut,96,,,43.93111111111111-S 71.53472222222221-O,Lago General Vintter
